moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
The Artist,"
15 May 2011 (2011-05-15) (Cannes)
12 October 2011 (2011-10-12) (France)
",$15 million,1,1,2011,15000000,10/12/2011,15000000,15000000
We Bought a Zoo,"
December 12, 2011 (2011-12-12) (Ziegfeld Theatre)
December 23, 2011 (2011-12-23) (United States)
",$50 million,1,1,2011,50000000,12/23/2011,50000000,50000000
Water for Elephants,"
April 22, 2011 (2011-04-22)
",$38 million,1,1,2011,38000000,4/22/2011,38000000,38000000
The Iron Lady,"
26 December 2011 (2011-12-26) (Australia, New Zealand)
6 January 2012 (2012-01-06) (United Kingdom)
15 February 2012 (2012-02-15) (France)
",$13 million,1,1,2011,13000000,2/15/2012,13000000,13000000
Moneyball,"
September 9, 2011 (2011-09-09) (TIFF)
September 23, 2011 (2011-09-23) (United States)
",$50 million,1,1,2011,50000000,9/23/2011,50000000,50000000
Insidious,"
September 14, 2010 (2010-09-14) (TIFF)
April 1, 2011 (2011-04-01) (United States)[4]
",$1.5 million,1,1,2018,1500000,4/1/2011,1500000,1500000
Scream 4,"
April 11, 2011 (2011-04-11) (TCL Chinese Theatre)
April 15, 2011 (2011-04-15) (United States)
",$40 million,1,1,2011,40000000,4/15/2011,40000000,40000000
The Rite,"
January 26, 2011 (2011-01-26) (Hollywood)
January 28, 2011 (2011-01-28) (United States)[1]
",$37 million,1,1,2011,37000000,1/28/2011,37000000,37000000
Dolphin Tale,"
September 21, 2011 (2011-09-21) (Clearwater, Florida)
September 23, 2011 (2011-09-23) (U.S.)
",$37 million,1,1,2014,37000000,9/23/2011,37000000,37000000
Season of the Witch,"
January 4, 2011 (2011-01-04) (New York premiere)
January 7, 2011 (2011-01-07)
 (United States)",$40 million,1,1,2011,40000000,1/7/2011,40000000,40000000
Red Riding Hood,"
March 7, 2011 (2011-03-07) (Hollywood premiere)
March 11, 2011 (2011-03-11) (United States)
",$42 million,1,1,2011,42000000,3/11/2011,42000000,42000000
Sucker Punch,"
March 25, 2011 (2011-03-25)
",$82 million,1,1,2011,82000000,3/25/2011,82000000,82000000
The Inbetweeners,"
17 August 2011 (2011-08-17)
",£3.5 million ($4.9 million),1,1,2014,4900000,8/17/2011,4900000,4900000
The Lincoln Lawyer,"
March 10, 2011 (2011-03-10) (Hollywood)
March 18, 2011 (2011-03-18) (United States)
",$40 million,1,1,2011,40000000,3/18/2011,40000000,40000000
Hall Pass,"
February 25, 2011 (2011-02-25)
",$36 million,1,1,2011,36000000,2/25/2011,36000000,36000000
Spy Kids 4: All the Time in the World,"
July 31, 2011 (2011-07-31) (Los Angeles)
August 19, 2011 (2011-08-19) (United States)
",$27 million,1,1,2011,27000000,8/19/2011,27000000,27000000
J. Edgar,"
November 3, 2011 (2011-11-03) (AFI Film Festival)
November 9, 2011 (2011-11-09) (United States)
",$35 million,1,1,2011,35000000,11/9/2011,35000000,35000000
"Big Mommas: Like Father, Like Son","
February 18, 2011 (2011-02-18)
",$32 million,1,1,2011,32000000,2/18/2011,32000000,32000000
Abduction,"
September 15, 2011 (2011-09-15) (Grauman's Chinese Theatre)
September 23, 2011 (2011-09-23) (United States)
",$35 million,1,1,2011,35000000,9/23/2011,35000000,35000000
Tinker Tailor Soldier Spy,"
5 September 2011 (2011-09-05) (Venice Film Festival)
16 September 2011 (2011-09-16) (United Kingdom)
",$21 million,1,1,2011,21000000,9/16/2011,21000000,21000000
The Ides of March,"
31 August 2011 (2011-08-31) (Venice)
7 October 2011 (2011-10-07) (United States)
",$12.5 million,1,1,2011,12500000,10/7/2011,12500000,12500000
The Mechanic,"
January 28, 2011 (2011-01-28) (United States)
",$40 million,1,1,2011,40000000,1/28/2011,40000000,40000000
The Change-Up,"
August 5, 2011 (2011-08-05)
",$52 million,1,1,2011,52000000,8/5/2011,52000000,52000000
Diary of a Wimpy Kid: Rodrick Rules,"
March 17, 2011 (2011-03-17) (Singapore)
March 25, 2011 (2011-03-25) (United States)
",$18-21 million,1,1,2011,21000000,3/25/2011,21000000,21000000
The Dilemma,"
January 14, 2011 (2011-01-14)
",$70 million,1,1,2011,70000000,1/14/2011,70000000,70000000
Something Borrowed,"
April 2011 (2011-04) (Newport Beach International Film Festival)
May 6, 2011 (2011-05-06)
(United States) ((United States))
",$35 million,1,1,2011,35000000,5/6/2011,35000000,35000000
The Darkest Hour,"
December 22, 2011 (2011-12-22) (Russia)
December 25, 2011 (2011-12-25) (United States)
",$34.8 million,1,1,2011,34800000,12/25/2011,34800000,34800000
Conan the Barbarian,"
August 11, 2011 (2011-08-11) (Los Angeles premiere)
August 19, 2011 (2011-08-19) (United States)
",$90 million,1,1,2011,90000000,8/19/2011,90000000,90000000
Colombiana,"
27 July 2011 (2011-07-27) (France)
26 August 2011 (2011-08-26) (United States)
9 September 2011 (2011-09-09) (United Kingdom)
",$40 million,1,1,2011,40000000,9/9/2011,40000000,40000000
From Up on Poppy Hill,"
July 16, 2011 (2011-07-16) (Japan)
","
¥2.2 billion
($22 million)
",1,1,2011,22000000,7/16/2011,22000000,22000000
One Day,"
8 August 2011 (2011-08-08) (New York City premiere)
19 August 2011 (2011-08-19) (United States)
24 August 2011 (2011-08-24) (United Kingdom)
",$15 million,1,1,2011,15000000,8/24/2011,15000000,15000000
The Tree of Life,"
May 16, 2011 (2011-05-16) (Cannes)
May 27, 2011 (2011-05-27) (United States)
",$32 million,1,1,2011,32000000,5/27/2011,32000000,32000000
Killer Elite,"
10 September 2011 (2011-09-10) (TIFF)
23 September 2011 (2011-09-23) (United States)
23 February 2012 (2012-02-23) (Australia)
",$70 million,1,1,2011,70000000,2/23/2012,70000000,70000000
Silent Hill: Revelation,"
26 October 2012 (2012-10-26) (Canada)
28 November 2012 (2012-11-28) (France)
",$20 million,1,1,2011,20000000,11/28/2012,20000000,20000000
Winnie the Pooh,"
April 6, 2011 (2011-04-06) (Belgium)
July 15, 2011 (2011-07-15) (United States)
",$30 million,1,1,2011,30000000,7/15/2011,30000000,30000000
Soul Surfer,"
April 8, 2011 (2011-04-08)
",$18 million,1,1,2011,18000000,4/8/2011,18000000,18000000
Beastly,"
March 4, 2011 (2011-03-04)
",$17 million,1,1,2011,17000000,3/4/2011,17000000,17000000
Shark Night,"
September 2, 2011 (2011-09-02) (United States)
",$25 million,1,1,2011,25000000,9/2/2011,25000000,25000000
50/50,"
September 12, 2011 (2011-09-12) (TIFF)
September 30, 2011 (2011-09-30) (United States)
",$8 million,1,1,2011,8000000,9/30/2011,8000000,8000000
Fright Night,"
August 14, 2011 (2011-08-14) (The O2 premiere)
August 19, 2011 (2011-08-19) (United States)
",$30 million,1,1,2011,30000000,8/19/2011,30000000,30000000
Drive Angry,"
February 25, 2011 (2011-02-25)
",$45-50 million,1,1,2011,50000000,2/25/2011,50000000,50000000
30 Minutes or Less,"
August 12, 2011 (2011-08-12)
",$28 million,1,1,2011,28000000,8/12/2011,28000000,28000000
Gantz,"Gantz:
January 29, 2011 (2011-01-29) (Japan)

Gantz: Perfect Answer:
April 23, 2011 (2011-04-23) (Japan)
",2.1 billion yen (total),1,0.0078,2011,"16,332,880",4/23/2011,210000000,1638000
The Roommate,"
February 4, 2011 (2011-02-04)
",$16 million,1,1,2011,16000000,2/4/2011,16000000,16000000
Dream House,"
September 30, 2011 (2011-09-30)
",$50 million,1,1,2011,50000000,9/30/2011,50000000,50000000
Monte Carlo,"
July 1, 2011 (2011-07-01)
",$20 million,1,1,2011,20000000,7/1/2011,20000000,20000000
Mars Needs Moms,"
March 6, 2011 (2011-03-06) (El Capitan Theatre)
March 11, 2011 (2011-03-11) (United States)
",$150 million,1,1,2011,150000000,3/11/2011,150000000,150000000
Don't Be Afraid of the Dark,"
November 6, 2010 (2010-11-06) (Virginia Film Festival)
August 26, 2011 (2011-08-26) (United States)
",$25 million,1,1,2011,25000000,8/26/2011,25000000,25000000
One for the Money,"
January 27, 2012 (2012-01-27)
",$40 million,1,1,2011,40000000,1/27/2012,40000000,40000000
The Eagle,"
11 February 2011 (2011-02-11) (United States)
25 March 2011 (2011-03-25) (United Kingdom)
",$25 million,1,1,2011,25000000,3/25/2011,25000000,25000000
Ra.One,"
24 October 2011 (2011-10-24) (Dubai)
25 October 2011 (2011-10-25) (London)
26 October 2011 (2011-10-26) (India)
",₹130–150 crore,10000000,0.013,2011,150,10/26/2011,150,19500000
Courageous,"
August 26, 2011 (2011-08-26) (Atlanta premiere)
September 30, 2011 (2011-09-30) (United States)
",$2 million,1,1,2011,2000000,9/30/2011,2000000,2000000
My Week with Marilyn,"
9 October 2011 (2011-10-09) (NYFF)
23 November 2011 (2011-11-23) (United States)
25 November 2011 (2011-11-25) (United Kingdom)
",$10 million,1,1,2011,10000000,11/25/2011,10000000,10000000
The Sitter,"
December 9, 2011 (2011-12-09)
",$25 million,1,1,2011,25000000,12/9/2011,25000000,25000000
Gantz: Perfect Answer,"Gantz:
January 29, 2011 (2011-01-29) (Japan)

Gantz: Perfect Answer:
April 23, 2011 (2011-04-23) (Japan)
",2.1 billion yen (total),1,0.0078,2011,"16,332,880",4/23/2011,210000000,1638000
The Thing,"
October 10, 2011 (2011-10-10) (Universal City)
October 14, 2011 (2011-10-14) (United States)
",$38 million,1,1,2011,38000000,10/14/2011,38000000,38000000
I Don't Know How She Does It,"
September 16, 2011 (2011-09-16)
",$24 million,1,1,2011,24000000,9/16/2011,24000000,24000000
African Cats,"
April 22, 2011 (2011-04-22) (United States)
February 1, 2012 (2012-02-01) (France)
April 27, 2012 (2012-04-27) (United Kingdom)
",$5 million,1,1,2011,5000000,4/27/2012,5000000,5000000
A Dangerous Method,"
2 September 2011 (2011-09-02) (Venice)
10 November 2011 (2011-11-10) (Germany)
13 January 2012 (2012-01-13) (Canada)
10 February 2012 (2012-02-10) (United Kingdom)
",$14 million,1,1,2011,14000000,2/10/2012,14000000,14000000
What's Your Number?,"
September 30, 2011 (2011-09-30)
",$20 million,1,1,2011,20000000,9/30/2011,20000000,20000000
The Rum Diary,"
October 13, 2011 (2011-10-13) (Los Angeles)
October 28, 2011 (2011-10-28) (United States)
",$45 million,1,1,2011,45000000,10/28/2011,45000000,45000000
You Are the Apple of My Eye,"
25 June 2011 (2011-06-25) (Taipei Film Festival)
19 August 2011 (2011-08-19) (Taiwan)
",NT$50 million (approx. US$1.7 million),1,1,2011,1700000,8/19/2011,1700000,1700000
Your Highness,"
April 8, 2011 (2011-04-08)
",$50 million,1,1,2011,50000000,4/8/2011,50000000,50000000
The Women on the 6th Floor,"
23 October 2010 (2010-10-23) (Première)
16 February 2011 (2011-02-16) (France)
",$7 million,1,1,2011,7000000,2/16/2011,7000000,7000000
A Monster in Paris,"
12 October 2011 (2011-10-12) (France)
16 December 2011 (2011-12-16) (United States)
",$32 million,1,1,2011,32000000,12/16/2011,32000000,32000000
Our Idiot Brother,"
January 22, 2011 (2011-01-22) (Sundance)
August 26, 2011 (2011-08-26) (United States)
[1]",$5 million,1,1,2011,5000000,8/26/2011,5000000,5000000
Young Adult,"
December 9, 2011 (2011-12-09)
",$12 million,1,1,2011,12000000,12/9/2011,12000000,12000000
Gooische vrouwen,"
10 March 2011 (2011-03-10) (Netherlands)
25 June 2011 (2011-06-25) (France)
",€2.5 million,1,1.08,2011,5000000,6/25/2011,2500000,2700000
Polisse,"
13 May 2011 (2011-05-13) (Cannes)
19 October 2011 (2011-10-19) (France)
",$7.2 million,1,1,2011,7200000,10/19/2011,7200000,7200000
Skyfall,"
23 October 2012 (2012-10-23) (London)
26 October 2012 (2012-10-26) (United Kingdom)
9 November 2012 (2012-11-09) (United States)
",$150–200 million,1,1,0,200000000,11/9/2012,200000000,200000000
The Dark Knight Rises,"
July 16, 2012 (2012-07-16) (New York City)
July 20, 2012 (2012-07-20) (United States and United Kingdom)
","
$250–300 million (gross)
$230 million (net)
",1,1,0,230000000,7/20/2012,230000000,230000000
The Hobbit: An Unexpected Journey,"
28 November 2012 (2012-11-28) (Wellington premiere)
12 December 2012 (2012-12-12) (New Zealand)
14 December 2012 (2012-12-14) (United States)
",$200–315 million,1,1,0,315000000,12/14/2012,315000000,315000000
Ice Age 4: Continental Drift,"
March 15, 2002 (2002-03-15) (United States)
",$59 million,1,1,0,59000000,3/15/2002,59000000,59000000
The Twilight Saga: Breaking Dawn - Part 2,"
October 30, 2011 (2011-10-30) (Rome Film Festival)
November 18, 2011 (2011-11-18) (United States)
",$127 million,1,1,0,127000000,11/18/2011,127000000,127000000
Snow White and the Huntsman,"
March 29, 2016 (2016-03-29) (Hamburg)
April 22, 2016 (2016-04-22) (United States)
",$115 million,1,1,0,115000000,4/22/2016,115000000,115000000
Taken 2,"
7 September 2012 (2012-09-07) (Deauville Film Festival)
3 October 2012 (2012-10-03) (France)
5 October 2012 (2012-10-05) (US)
",$45 million,1,1,0,45000000,10/5/2012,45000000,45000000
Journey 2: The Mysterious Island,"
January 19, 2012 (2012-01-19) (Australia)
February 10, 2012 (2012-02-10) (United States)
",$80 million,1,1,0,80000000,2/10/2012,80000000,80000000
The Expendables 2,"
August 13, 2012 (2012-08-13) (London)
August 17, 2012 (2012-08-17) (United States)
",$100 million,1,1,0,100000000,8/17/2012,100000000,100000000
Rise of the Guardians,"
October 10, 2012 (2012-10-10) (Mill Valley Film Festival)[2]
November 21, 2012 (2012-11-21) (United States)
",$145 million,1,1,0,145000000,11/21/2012,145000000,145000000
Battleship,"
26 July 2017 (2017-07-26)
",US$21 million,1,1,2017,21000000,7/26/2017,21000000,21000000
John Carter,"
February 22, 2012 (2012-02-22) (Los Angeles)
March 9, 2012 (2012-03-09) (United States)
","
$306.6 million (gross)
$263.7 million (net)
",1,1,0,253000000,3/9/2012,263700000,263700000
Resident Evil: Retribution,"
September 3, 2012 (2012-09-03) (Tokyo)
September 14, 2012 (2012-09-14) (United States)
September 20, 2012 (2012-09-20) (Germany)
September 26, 2012 (2012-09-26) (France)
",$65 million,1,1,0,65000000,9/26/2012,65000000,65000000
The Impossible,"
May 22, 1996 (1996-05-22)
",$80 million,1,1,0,80000000,5/22/1996,80000000,80000000
Magic Mike,"
June 25, 2015 (2015-06-25) (Los Angeles)
July 1, 2015 (2015-07-01) (United States)
",$14.8 million,1,1,2015,14800000,7/1/2015,14800000,14800000
Underworld: Awakening,"
January 20, 2012 (2012-01-20)
",$70 million,1,1,0,70000000,1/20/2012,70000000,70000000
The Best Exotic Marigold Hotel,"
26 February 2015 (2015-02-26) (United Kingdom)

6 March 2015 (2015-03-06) (United States)
",$10 million,1,1,0,10000000,3/6/2015,10000000,10000000
The Wind Rises,"
20 July 2013 (2013-07-20) (Japan)
",US$30 million,1,1,0,30000000,7/20/2013,30000000,30000000
Last Vegas,"
October 30, 2013 (2013-10-30) (New York City)
November 1, 2013 (2013-11-01) (United States)
",$28 million,1,1,0,28000000,11/1/2013,28000000,28000000
Zero Dark Thirty,"
December 10, 2012 (2012-12-10) (Los Angeles)
December 19, 2012 (2012-12-19) (United States)
",$40-52.5 million,1,1,0,50000000,12/19/2012,52500000,52500000
The Woman in Black,"
24 January 2012 (2012-01-24) (Royal Festival Hall)
3 February 2012 (2012-02-03) (North America)
10 February 2012 (2012-02-10) (United Kingdom)
27 April 2012 (2012-04-27) (Sweden)
",$15 million,1,1,2015,15000000,4/27/2012,15000000,15000000
Abraham Lincoln: Vampire Hunter,"
June 18, 2012 (2012-06-18) (New York City)
June 22, 2012 (2012-06-22) (United States)
",$69–99.5 million,1,1,0,80000000,6/22/2012,99500000,99500000
Pitch Perfect,"
November 30, 2017 (2017-11-30) (Sydney)
December 22, 2017 (2017-12-22) (United States)
",$45 million,1,1,2017,45000000,12/22/2017,45000000,45000000
Savages,"
June 25, 2012 (2012-06-25) (Westwood)
July 6, 2012 (2012-07-06) (United States)
",$45 million,1,1,0,45000000,7/6/2012,45000000,45000000
Sinister,"
August 21, 2015 (2015-08-21)
",$10 million,1,1,2015,10000000,8/21/2015,10000000,10000000
The Cabin in the Woods,"
December 2011 (2011-12) (Butt-Numb-A-Thon)
April 13, 2012 (2012-04-13) (United States)
",$30 million,1,1,0,30000000,4/13/2012,30000000,30000000
Anna Karenina,"
August 30, 1935 (1935-08-30) (New York City)[1]
","$1,152,000",1,1,0,1152000,8/30/1935,1152000,1152000
The Odd Life of Timothy Green,"
August 15, 2012 (2012-08-15)
",$25 million,1,1,0,25000000,8/15/2012,25000000,25000000
Red Dawn,"
September 27, 2012 (2012-09-27) (Fantastic Fest)
November 21, 2012 (2012-11-21) (United States)[3]
",$65 million,1,1,0,65000000,11/21/2012,65000000,65000000
Red Tails,"
January 11, 2012 (2012-01-11) (New York City)
January 20, 2012 (2012-01-20) (United States)
",$58 million,1,1,0,58000000,1/20/2012,58000000,58000000
Tad: The Lost Explorer,"
5 June 2012 (2012-06-05) (AIAFF)[1]
31 August 2012 (2012-08-31) (Spain)[2]
",€8 million,1,1.08,0,8000000,8/31/2012,8000000,8640000
Man on a Ledge,"
January 27, 2012 (2012-01-27)
",$42 million,1,1,0,42000000,1/27/2012,42000000,42000000
Good Deeds,"
September 12, 2014 (2014-09-12)
(United States)",$13.2 million,1,1,0,13200000,9/12/2014,13200000,13200000
Rowdy Rathore,"
June 1, 2012 (2012-06-01) (India)
",₹60 crore,10000000,0.013,0,60,6/1/2012,60,7800000
Bol Bachchan,"
July 6, 2012 (2012-07-06) (India)
",₹50 crore (US$6.6 million),1,1,0,6600000,7/6/2012,6600000,6600000
Agneepath,"
26 January 2012 (2012-01-26)
",₹58 crore (US$7.6 million),1,1,0,7600000,1/26/2012,7600000,7600000
Housefull 2,"
5 April 2012 (2012-04-05)
",₹450 million,1,0.013,0,450000000,4/5/2012,450000000,5850000
Frozen,"
November 7, 2019 (2019-11-07) (Dolby Theatre)
November 22, 2019 (2019-11-22) (United States)
",$150 million,1,1,2019,150000000,11/22/2019,150000000,150000000
Iron Man 3,"
April 14, 2013 (2013-04-14) (Grand Rex)
May 3, 2013 (2013-05-03) (United States)
",$200 million,1,1,2013,200000000,5/3/2013,200000000,200000000
The Hobbit: The Desolation of Smaug,"
2 December 2013 (2013-12-02) (Los Angeles premiere)
12 December 2013 (2013-12-12) (New Zealand)
13 December 2013 (2013-12-13) (United States)
",$191–250 million,1,1,2013,250000000,12/13/2013,250000000,250000000
The Hunger Games: Catching Fire,"
November 11, 2013 (2013-11-11) (London)
November 22, 2013 (2013-11-22) (United States)
",$130–140 million,1,1,2013,140000000,11/22/2013,140000000,140000000
Monsters University,"
June 5, 2013 (2013-06-05) (BFI Southbank)
June 21, 2013 (2013-06-21) (United States)
",$200 million,1,1,2013,200000000,6/21/2013,200000000,200000000
